id,type,text1,text2,text3,notes

aic_cap1,SHIP,"Massive engines and enough guns to rip and tear through enemy fleets with no remorse, the Chimera's mere existance is a rumour as this monstrous collection of armor plating and weapon mounts were welded together somewhere deep in the jungles of Perihelion, the Union only use it on operations where it's absolutely necessary to ensure operational goals. Original desgin specifications included the ability easily crush Hegemony and Church Legions and Onslaughts which it does with impunity, this kind of fire power is only rivaled by the Paragon. Built from mostly Legion, Onslaught and other parts that can easily be acquired and produced on Perihelion this clever design completely surprised both  the Hegemony and the Church who believed that the Union would be incapable of producing such large vessels covertly and on their own.",,,

aic_cap1r,SHIP,"Massive engines and with enough guns to rip and tear through enemy fleets with no remorse, the Rhinochimaera's mere existance is a rumour as this monstrous collection of armor plating and weapon mounts were welded together somewhere deep in the depths of the outer Sector, custom built and commanded by the fearsome Levon Trosky. Boasts supercapital like capabilities with incredible range and firepower, with matching durability.",,,

aic_cap2,SHIP,"A nimble battlecruiser built around an experimental propulsion system. High difficulty and cost of construction keep these ships from becoming more commonly adapted. The Falling Sun excels at both hit & run and flanking maneuvers thanks to good mix of firepower and mobility.",,,

aic_cap2boss,SHIP,"Entirely unique modification of Falling Sun battlecruiser, made with unknown purpose in mind. Function of all the lavish additions onboard remains a mystery. Are they just for show, an image of lavish lifestyle beyond reach of most or do they serve a more meaningful function? You'll probably never know the truth of that. A very advanced battlecruiser the Firepower excels at both hit & run and flanking maneuvers thanks to good mix of firepower and mobility.",,,

aic_legionc,SHIP,"Custom built and then modified by the Union, this Legion has been given new specialised weapons and a distinctive stripy paint-job which it's named after, the massive built-in Hook MRM Arrays with the capability to overwhelm an entire fleets worth of point defense specialize the ship into more of a supportive role in Union fleets. The Red Legion entered production once the retrofit and weapons were engineered and tested for it after the discovery and the subsequent acquisition of a functioning Legion blueprint on Perihelion by one of the many tech-miners. as a battlecarrier, the Legion mounts an impressive array of heavy weapons, hangar-space, and command-control sufficient to field four fighter wings. Later models were upgraded with nanoforges keyed to replacement of fightercraft, significantly increasing tooth-to-tail ratio on distant deployments.",,,

aic_cruiserprot1,SHIP,"A mysterious ship found unpowered and derelict at the fringe of the Sector. Seems to have a very complex design with alien capabilities not found on any other ship in the Sector. The only clues to the ships origin are the production info left on the ship ""TRST Minokawa - SERIAL 002.""",,,

